strategy_name,best_val_accuracy,epochs_trained,status
v15_adx_aroon,0.5840474367141724,18,completed
v15_adx_di,0.6521643400192261,19,completed
v15_adx_only,0.5840474367141724,18,completed
v15_adx_rsi,0.6429356336593628,27,completed
v15_aroon_only,0.6099758148193359,38,completed
v15_aroon_rvi,0.6122829914093018,42,completed
v15_cmf_only,N/A,N/A,failed
v15_di_only,0.6502966284751892,18,completed
v15_mfi_adx_aroon,0.5778949856758118,17,completed
v15_mfi_cmf,0.5840474367141724,17,completed
v15_mfi_only,0.5840474367141724,21,completed
v15_rsi_adx,0.6368929743766785,20,completed
v15_rsi_adx_stochastic,0.6464513540267944,31,completed
v15_rsi_cmf,0.6432651877403259,17,completed
v15_rsi_mfi,0.6421665549278259,17,completed
v15_rsi_only,0.6383212208747864,38,completed
v15_rsi_stochastic,0.6324983239173889,26,completed
v15_rsi_williams,0.641836941242218,18,completed
v15_rsi_zigzag_1_5,0.6539222002029419,25,completed
v15_rsi_zigzag_2_0,0.6438145637512207,28,completed
v15_rsi_zigzag_3_0,0.6512854099273682,25,completed
v15_rsi_zigzag_3_5,0.7124807834625244,27,completed
v15_rvi_only,0.5840474367141724,23,completed
v15_stochastic_only,0.6174467206001282,16,completed
v15_stochastic_williams,0.6172269582748413,26,completed
v15_williams_only,0.6101955771446228,21,completed
v15_williams_stochastic_cmf,0.5840474367141724,25,completed
